original_index,complaint,entity_type,entity_value,instruction,response
1394,Charged late fee after signing up for autopay with autopay not working. Late fee is above the maximum limit set by Cfpb,direction,outgoing,"Given the following consumer complaint, extract whether the transaction is incoming (money coming to consumer) or outgoing (money going from consumer), or unknown.

Complaint: ""Charged late fee after signing up for autopay with autopay not working. Late fee is above the maximum limit set by Cfpb""

Extract the direction:",outgoing
4590,"I found out the creditor didn't give the required XXXX notice with a statement. This would've let me pay on time and avoid late fees. This error made it seem like I didn't pay when I should have, which is the creditor 's mistake.",account_type_source,checking,"Given the following consumer complaint, extract the source account type where money/transaction originates (checking, savings, credit_card, brokerage, loan, cash, other, unknown).

Complaint: ""I found out the creditor didn't give the required XXXX notice with a statement. This would've let me pay on time and avoid late fees. This error made it seem like I didn't pay when I should have, which is the creditor 's mistake.""

Extract the account_type_source:",checking
1488,"One Main approved my title loan without inspecting the vehicle. Throughout the life of loan I couldn't pay it back, eventually my car got towed twice finally I gave up and now I still have an open balance and no car",direction,outgoing,"Given the following consumer complaint, extract whether the transaction is incoming (money coming to consumer) or outgoing (money going from consumer), or unknown.

Complaint: ""One Main approved my title loan without inspecting the vehicle. Throughout the life of loan I couldn't pay it back, eventually my car got towed twice finally I gave up and now I still have an open balance and no car""

Extract the direction:",outgoing
2923,"I've learned that the creditor didn't provide the necessary XXXX notice along with a statement, which would have given me enough time to process payments and avoid late fees on these accounts. This mistake has caused a misrepresentation of the payment status, indicating a billing error by the creditor.",account_type_source,checking,"Given the following consumer complaint, extract the source account type where money/transaction originates (checking, savings, credit_card, brokerage, loan, cash, other, unknown).

Complaint: ""I've learned that the creditor didn't provide the necessary XXXX notice along with a statement, which would have given me enough time to process payments and avoid late fees on these accounts. This mistake has caused a misrepresentation of the payment status, indicating a billing error by the creditor.""

Extract the account_type_source:",checking
883,"I never been late with this accounts, and please update it, and I always paid on time that's why this is ridiculous.",channel,online,"Given the following consumer complaint, extract the payment/transaction channel used (ACH, wire, Zelle, Venmo, CashApp, card_present, card_not_present, ATM, mobile_check, branch, online, other, unknown).

Complaint: ""I never been late with this accounts, and please update it, and I always paid on time that's why this is ridiculous.""

Extract the channel:",online
1511,I am submitting this to all consumer and credit bureaus to add a personal statement ( with the exception of XXXX ) as was able to add to my statement through their portal.,channel,online,"Given the following consumer complaint, extract the payment/transaction channel used (ACH, wire, Zelle, Venmo, CashApp, card_present, card_not_present, ATM, mobile_check, branch, online, other, unknown).

Complaint: ""I am submitting this to all consumer and credit bureaus to add a personal statement ( with the exception of XXXX ) as was able to add to my statement through their portal.""

Extract the channel:",online
2890,"The bank is putting through payments when I do not have enough money in my account THEN charging me a fee for each. 
I called customer service and told them not to do this but they continue to do so",merchant,unknown,"Given the following consumer complaint, extract the merchant/vendor name if mentioned, or ""unknown"" if not specified.

Complaint: ""The bank is putting through payments when I do not have enough money in my account THEN charging me a fee for each. 
I called customer service and told them not to do this but they continue to do so""

Extract the merchant:",unknown
2984,I recently received access back into my PayPal account after providing proof of identity and income now after a withdrawal I have received another limited account status please help me withdraw all of my funds. I do not want to do business with PayPal anymore this is ridiculous,merchant,PayPal,"Given the following consumer complaint, extract the merchant/vendor name if mentioned, or ""unknown"" if not specified.

Complaint: ""I recently received access back into my PayPal account after providing proof of identity and income now after a withdrawal I have received another limited account status please help me withdraw all of my funds. I do not want to do business with PayPal anymore this is ridiculous""

Extract the merchant:",PayPal
5468,Reporting double accounts credit reporting agency did not verify that is trying to be collected under 2 different accounts Not reporting accounts being sold nor reporting account XXXX balance once sold. Last date of payment untrue. Will not provide proof of any verification of investigation.,account_type_source,unknown,"Given the following consumer complaint, extract the source account type where money/transaction originates (checking, savings, credit_card, brokerage, loan, cash, other, unknown).

Complaint: ""Reporting double accounts credit reporting agency did not verify that is trying to be collected under 2 different accounts Not reporting accounts being sold nor reporting account XXXX balance once sold. Last date of payment untrue. Will not provide proof of any verification of investigation.""

Extract the account_type_source:",unknown
65,"Was advised that on the tenth business day provisional credit would be issued in my checking account in reference to a claim, fraudulent and unauthorized activity with my lost and or stolen debit card on XXXX/XXXX/2017. Credit has still not been issued. Claim ID XXXX",direction,incoming,"Given the following consumer complaint, extract whether the transaction is incoming (money coming to consumer) or outgoing (money going from consumer), or unknown.

Complaint: ""Was advised that on the tenth business day provisional credit would be issued in my checking account in reference to a claim, fraudulent and unauthorized activity with my lost and or stolen debit card on XXXX/XXXX/2017. Credit has still not been issued. Claim ID XXXX""

Extract the direction:",incoming
4700,"Wont give me access to attach my account to XXXX, to help me with finances this week",merchant,XXXX,"Given the following consumer complaint, extract the merchant/vendor name if mentioned, or ""unknown"" if not specified.

Complaint: ""Wont give me access to attach my account to XXXX, to help me with finances this week""

Extract the merchant:",XXXX
2497,I am a victim of Identity theft this fraudulent XXXX account with an outstanding balance of {$300.00} was opened without my authorization.,account_type_source,unknown,"Given the following consumer complaint, extract the source account type where money/transaction originates (checking, savings, credit_card, brokerage, loan, cash, other, unknown).

Complaint: ""I am a victim of Identity theft this fraudulent XXXX account with an outstanding balance of {$300.00} was opened without my authorization.""

Extract the account_type_source:",unknown
3782,"I recently disputed a bankruptcy that I saw on my credit report with your company. I disputed it because it is unverifiable, yet you updated the report with the statement that the account was verified.",account_type_target,none,"Given the following consumer complaint, extract the target account type where money/transaction goes to (checking, savings, credit_card, brokerage, loan, cash, other, unknown, none).

Complaint: ""I recently disputed a bankruptcy that I saw on my credit report with your company. I disputed it because it is unverifiable, yet you updated the report with the statement that the account was verified.""

Extract the account_type_target:",none
5722,"On XX/XX/2021, I submitted a negotiable instrument to Capital One for payment in full. They credited my account for a different amount than what was instructed on the negotiable instrument. The instrument was deposited.",account_type_target,credit_card,"Given the following consumer complaint, extract the target account type where money/transaction goes to (checking, savings, credit_card, brokerage, loan, cash, other, unknown, none).

Complaint: ""On XX/XX/2021, I submitted a negotiable instrument to Capital One for payment in full. They credited my account for a different amount than what was instructed on the negotiable instrument. The instrument was deposited.""

Extract the account_type_target:",credit_card
4527,I have a inaccurate inquiry from pentagon federal credit union,direction,unknown,"Given the following consumer complaint, extract whether the transaction is incoming (money coming to consumer) or outgoing (money going from consumer), or unknown.

Complaint: ""I have a inaccurate inquiry from pentagon federal credit union""

Extract the direction:",unknown
4128,I believe I may have been charged unlawful overdraft fees banking with navy federal credit union.,channel,online,"Given the following consumer complaint, extract the payment/transaction channel used (ACH, wire, Zelle, Venmo, CashApp, card_present, card_not_present, ATM, mobile_check, branch, online, other, unknown).

Complaint: ""I believe I may have been charged unlawful overdraft fees banking with navy federal credit union.""

Extract the channel:",online
4119,Crypto.com Visa card has freezed my card 4 months ago after disputing unauthorized transactions and they refused to resolve my complaint or give me access to my funds and utilizing my account funds as a weapon against me {$4000.00} USD,merchant,Crypto.com,"Given the following consumer complaint, extract the merchant/vendor name if mentioned, or ""unknown"" if not specified.

Complaint: ""Crypto.com Visa card has freezed my card 4 months ago after disputing unauthorized transactions and they refused to resolve my complaint or give me access to my funds and utilizing my account funds as a weapon against me {$4000.00} USD""

Extract the merchant:",Crypto.com
2131,"Date : XXXX XXXX .I believe that it was a mistake to close my paypal account for my online business and i am hoping that i will get back to continue my business. 

Thanks and Godbless",transaction_type,other,"Given the following consumer complaint, extract the type of financial transaction (debit, credit, transfer, purchase, cash_withdrawal, deposit, fee, interest, refund, chargeback, payment, other, unknown).

Complaint: ""Date : XXXX XXXX .I believe that it was a mistake to close my paypal account for my online business and i am hoping that i will get back to continue my business. 

Thanks and Godbless""

Extract the transaction_type:",other
4288,Bank shut down my account that was linked to my checking account and charged me {$100.00} in fees and would only refund half of my money. XXXX and XXXX at Wells Fargo refused to allow me to speak to a supervisor and said my complaint was closed.,channel,branch,"Given the following consumer complaint, extract the payment/transaction channel used (ACH, wire, Zelle, Venmo, CashApp, card_present, card_not_present, ATM, mobile_check, branch, online, other, unknown).

Complaint: ""Bank shut down my account that was linked to my checking account and charged me {$100.00} in fees and would only refund half of my money. XXXX and XXXX at Wells Fargo refused to allow me to speak to a supervisor and said my complaint was closed.""

Extract the channel:",branch
2517,"I looked upon my credit report and discovered the accounts that need to be deleted ; XXXX XXXX, Accounts Balance {$730.00} ; XXXX XXXX XXXX XXXX, Accounts Balance {$660.00} ; XXXX XXXX XXXX XXXX, {$930.00} ; XXXX XXXX XXXX, {$290.00} ; XXXX XXXX XXXX XXXX, {$200.00}",channel,unknown,"Given the following consumer complaint, extract the payment/transaction channel used (ACH, wire, Zelle, Venmo, CashApp, card_present, card_not_present, ATM, mobile_check, branch, online, other, unknown).

Complaint: ""I looked upon my credit report and discovered the accounts that need to be deleted ; XXXX XXXX, Accounts Balance {$730.00} ; XXXX XXXX XXXX XXXX, Accounts Balance {$660.00} ; XXXX XXXX XXXX XXXX, {$930.00} ; XXXX XXXX XXXX, {$290.00} ; XXXX XXXX XXXX XXXX, {$200.00}""

Extract the channel:",unknown
2075,"Ensuring timely payments on this account has been a consistent priority, ensuring no instances of overdue status. The reasons for the late payment remarks on my accounts remain unclear to me. As per 15 USC 1666b - Billing Error, corrections ought to be implemented.",channel,online,"Given the following consumer complaint, extract the payment/transaction channel used (ACH, wire, Zelle, Venmo, CashApp, card_present, card_not_present, ATM, mobile_check, branch, online, other, unknown).

Complaint: ""Ensuring timely payments on this account has been a consistent priority, ensuring no instances of overdue status. The reasons for the late payment remarks on my accounts remain unclear to me. As per 15 USC 1666b - Billing Error, corrections ought to be implemented.""

Extract the channel:",online
1617,"I've learned that the creditor didn't provide the necessary 21-day notice along with a statement, which would have given me enough time to process payments and avoid late fees on these accounts. This mistake has caused a misrepresentation of the payment status, indicating a billing error by the creditor.",account_type_source,credit_card,"Given the following consumer complaint, extract the source account type where money/transaction originates (checking, savings, credit_card, brokerage, loan, cash, other, unknown).

Complaint: ""I've learned that the creditor didn't provide the necessary 21-day notice along with a statement, which would have given me enough time to process payments and avoid late fees on these accounts. This mistake has caused a misrepresentation of the payment status, indicating a billing error by the creditor.""

Extract the account_type_source:",credit_card
1171,XXXX/Motolease is reporting the wrong balance on my credit reports and is refusing to update that the account has been settled in full with XXXX balance.,direction,unknown,"Given the following consumer complaint, extract whether the transaction is incoming (money coming to consumer) or outgoing (money going from consumer), or unknown.

Complaint: ""XXXX/Motolease is reporting the wrong balance on my credit reports and is refusing to update that the account has been settled in full with XXXX balance.""

Extract the direction:",unknown
586,"I want this late payment deleted from my account within 15 days, this is not mine, I'm not aware of this, Under USC 1666b. 
See the documents attached.",transaction_type,payment,"Given the following consumer complaint, extract the type of financial transaction (debit, credit, transfer, purchase, cash_withdrawal, deposit, fee, interest, refund, chargeback, payment, other, unknown).

Complaint: ""I want this late payment deleted from my account within 15 days, this is not mine, I'm not aware of this, Under USC 1666b. 
See the documents attached.""

Extract the transaction_type:",payment
3291,"{$30000.00} was taken from account, and bank of America has not brought the money back into the account. I filed a complaint on XX/XX/XXXX and i have not heard back. I did not make the transactions on this account.",merchant,Bank of America,"Given the following consumer complaint, extract the merchant/vendor name if mentioned, or ""unknown"" if not specified.

Complaint: ""{$30000.00} was taken from account, and bank of America has not brought the money back into the account. I filed a complaint on XX/XX/XXXX and i have not heard back. I did not make the transactions on this account.""

Extract the merchant:",Bank of America
636,I believe my auto XXXX  has been mismanaged and payments applied incorrectly resulting in higher interest payments and delay in paying off the loan.,transaction_type,payment,"Given the following consumer complaint, extract the type of financial transaction (debit, credit, transfer, purchase, cash_withdrawal, deposit, fee, interest, refund, chargeback, payment, other, unknown).

Complaint: ""I believe my auto XXXX  has been mismanaged and payments applied incorrectly resulting in higher interest payments and delay in paying off the loan.""

Extract the transaction_type:",payment
2326,"Balance transfer/payment from from my XXXX credit card of {$3000.00} was sent to my Citi Card credit card. They have stated multiple times that my check was never received or cash, but my XXXX credit card is stating Citi received and cash check.",account_type_source,credit_card,"Given the following consumer complaint, extract the source account type where money/transaction originates (checking, savings, credit_card, brokerage, loan, cash, other, unknown).

Complaint: ""Balance transfer/payment from from my XXXX credit card of {$3000.00} was sent to my Citi Card credit card. They have stated multiple times that my check was never received or cash, but my XXXX credit card is stating Citi received and cash check.""

Extract the account_type_source:",credit_card
5304,"Tried several times to make payments on account, my Bank wouldnt never attach to make the payment",channel,online,"Given the following consumer complaint, extract the payment/transaction channel used (ACH, wire, Zelle, Venmo, CashApp, card_present, card_not_present, ATM, mobile_check, branch, online, other, unknown).

Complaint: ""Tried several times to make payments on account, my Bank wouldnt never attach to make the payment""

Extract the channel:",online
1956,Trying to remove a hard inquiry on my credit report! Sync-Amazon credit card company! This is a fairly new company! I didnt ask for no credit card through this company! I dont understand why this company is allowed to put a hard inquiry on peoples credit during a pandemic!!!,transaction_type,unknown,"Given the following consumer complaint, extract the type of financial transaction (debit, credit, transfer, purchase, cash_withdrawal, deposit, fee, interest, refund, chargeback, payment, other, unknown).

Complaint: ""Trying to remove a hard inquiry on my credit report! Sync-Amazon credit card company! This is a fairly new company! I didnt ask for no credit card through this company! I dont understand why this company is allowed to put a hard inquiry on peoples credit during a pandemic!!!""

Extract the transaction_type:",unknown
1189,On XX/XX/2018- XX/XX/2018 someone hacked into my mobile banking app and made XXXX   transfers were made on my account totaling an amount of XXXX . I claim was filed on XX/XX/2018 with Bank of America but there was no resolve.,transaction_type,transfer,"Given the following consumer complaint, extract the type of financial transaction (debit, credit, transfer, purchase, cash_withdrawal, deposit, fee, interest, refund, chargeback, payment, other, unknown).

Complaint: ""On XX/XX/2018- XX/XX/2018 someone hacked into my mobile banking app and made XXXX   transfers were made on my account totaling an amount of XXXX . I claim was filed on XX/XX/2018 with Bank of America but there was no resolve.""

Extract the transaction_type:",transfer
4959,"Account is reported as late, payment is up to date. Address was never changed for statement. Did not receive bill.",account_type_target,credit_card,"Given the following consumer complaint, extract the target account type where money/transaction goes to (checking, savings, credit_card, brokerage, loan, cash, other, unknown, none).

Complaint: ""Account is reported as late, payment is up to date. Address was never changed for statement. Did not receive bill.""

Extract the account_type_target:",credit_card
5988,It is indeed ridiculous to see late payments recorded on my account when I have consistently made on-time payments without any history of being overdue. I firmly insist that you correct my account to accurately depict my payment history.,account_type_target,none,"Given the following consumer complaint, extract the target account type where money/transaction goes to (checking, savings, credit_card, brokerage, loan, cash, other, unknown, none).

Complaint: ""It is indeed ridiculous to see late payments recorded on my account when I have consistently made on-time payments without any history of being overdue. I firmly insist that you correct my account to accurately depict my payment history.""

Extract the account_type_target:",none
4660,"I've learned that the creditor didn't provide the necessary 21-day notice along with a statement, which would have given me enough time to process payments and avoid late fees on these accounts. This mistake has caused a misrepresentation of the payment status, indicating a billing error by the creditor.",account_type_source,credit_card,"Given the following consumer complaint, extract the source account type where money/transaction originates (checking, savings, credit_card, brokerage, loan, cash, other, unknown).

Complaint: ""I've learned that the creditor didn't provide the necessary 21-day notice along with a statement, which would have given me enough time to process payments and avoid late fees on these accounts. This mistake has caused a misrepresentation of the payment status, indicating a billing error by the creditor.""

Extract the account_type_source:",credit_card
4490,"XXXX IS REPORTING INACCURATE INFORMATION ON MY CREDIT REPORT I NEVER HAD A {$1100.00} credit card, a {$9700.00} credit card or a {$8000.00} home loan please update my credit file As soon as possible i was also a victim of several data breach including Equifax",transaction_type,unknown,"Given the following consumer complaint, extract the type of financial transaction (debit, credit, transfer, purchase, cash_withdrawal, deposit, fee, interest, refund, chargeback, payment, other, unknown).

Complaint: ""XXXX IS REPORTING INACCURATE INFORMATION ON MY CREDIT REPORT I NEVER HAD A {$1100.00} credit card, a {$9700.00} credit card or a {$8000.00} home loan please update my credit file As soon as possible i was also a victim of several data breach including Equifax""

Extract the transaction_type:",unknown
3697,"Company written off the debt as a profit loss/ charge but has not provided a XXXX to me to report on my taxes. 

Documents were requested but never provided.",merchant,unknown,"Given the following consumer complaint, extract the merchant/vendor name if mentioned, or ""unknown"" if not specified.

Complaint: ""Company written off the debt as a profit loss/ charge but has not provided a XXXX to me to report on my taxes. 

Documents were requested but never provided.""

Extract the merchant:",unknown
4708,US Bank charges a late fee when I make a monthly payment on time because it is beyond XXXX CST rather than the end of the day. The disclosure is n't shown until submit payment is selected.,transaction_type,fee,"Given the following consumer complaint, extract the type of financial transaction (debit, credit, transfer, purchase, cash_withdrawal, deposit, fee, interest, refund, chargeback, payment, other, unknown).

Complaint: ""US Bank charges a late fee when I make a monthly payment on time because it is beyond XXXX CST rather than the end of the day. The disclosure is n't shown until submit payment is selected.""

Extract the transaction_type:",fee
3122,Account has been closed for more than 60 days now and i still did not receive my funds and im still getting statements saying my acccount is open when it was closed in XXXX,transaction_type,other,"Given the following consumer complaint, extract the type of financial transaction (debit, credit, transfer, purchase, cash_withdrawal, deposit, fee, interest, refund, chargeback, payment, other, unknown).

Complaint: ""Account has been closed for more than 60 days now and i still did not receive my funds and im still getting statements saying my acccount is open when it was closed in XXXX""

Extract the transaction_type:",other
6010,"Cash app, taking and missing money. There never anyone to talk with customer service. Taking money for service without permission, stc",direction,outgoing,"Given the following consumer complaint, extract whether the transaction is incoming (money coming to consumer) or outgoing (money going from consumer), or unknown.

Complaint: ""Cash app, taking and missing money. There never anyone to talk with customer service. Taking money for service without permission, stc""

Extract the direction:",outgoing
5767,I am very upset I have a deposit receipt I opened a business checking and have a personal account with them as well I dont have my debit cards for neither account have no access to my money,account_type_target,none,"Given the following consumer complaint, extract the target account type where money/transaction goes to (checking, savings, credit_card, brokerage, loan, cash, other, unknown, none).

Complaint: ""I am very upset I have a deposit receipt I opened a business checking and have a personal account with them as well I dont have my debit cards for neither account have no access to my money""

Extract the account_type_target:",none
4813,A creditor May not payment on a credit card account under any open end consumer report credit plan as late for purpose.,merchant,unknown,"Given the following consumer complaint, extract the merchant/vendor name if mentioned, or ""unknown"" if not specified.

Complaint: ""A creditor May not payment on a credit card account under any open end consumer report credit plan as late for purpose.""

Extract the merchant:",unknown
1802,"I never been late with this accounts, and please update it, and I always paid on time that's why this is ridiculous.",transaction_type,payment,"Given the following consumer complaint, extract the type of financial transaction (debit, credit, transfer, purchase, cash_withdrawal, deposit, fee, interest, refund, chargeback, payment, other, unknown).

Complaint: ""I never been late with this accounts, and please update it, and I always paid on time that's why this is ridiculous.""

Extract the transaction_type:",payment
5851,Repeated attempts at resolving fraudulent activity on account,transaction_type,other,"Given the following consumer complaint, extract the type of financial transaction (debit, credit, transfer, purchase, cash_withdrawal, deposit, fee, interest, refund, chargeback, payment, other, unknown).

Complaint: ""Repeated attempts at resolving fraudulent activity on account""

Extract the transaction_type:",other
1441,XXXX work was needed. XXXX XXXX was found and we had conversation that they can do XXXX. We had agreement and contract of getting work done. I was scammed out of this money {$3000.00} Funds sent XXXX XXXX,direction,outgoing,"Given the following consumer complaint, extract whether the transaction is incoming (money coming to consumer) or outgoing (money going from consumer), or unknown.

Complaint: ""XXXX work was needed. XXXX XXXX was found and we had conversation that they can do XXXX. We had agreement and contract of getting work done. I was scammed out of this money {$3000.00} Funds sent XXXX XXXX""

Extract the direction:",outgoing
5786,"DSNB MACYS this account has charge-off status and yet there is a past due balance on your report. I have requested debt validation and Macys have failed to comply on several occasions. 

All Listed accounts on my attached dispute have failed to provide debt validations since XX/XX/2020.",account_type_target,none,"Given the following consumer complaint, extract the target account type where money/transaction goes to (checking, savings, credit_card, brokerage, loan, cash, other, unknown, none).

Complaint: ""DSNB MACYS this account has charge-off status and yet there is a past due balance on your report. I have requested debt validation and Macys have failed to comply on several occasions. 

All Listed accounts on my attached dispute have failed to provide debt validations since XX/XX/2020.""

Extract the account_type_target:",none
265,My card info was stolen and I immediately blocked the card and asked the replacement. Now XXXX has given the info to charge the recurring payments for XXXX without my permission. I canceled the service already.,merchant,XXXX,"Given the following consumer complaint, extract the merchant/vendor name if mentioned, or ""unknown"" if not specified.

Complaint: ""My card info was stolen and I immediately blocked the card and asked the replacement. Now XXXX has given the info to charge the recurring payments for XXXX without my permission. I canceled the service already.""

Extract the merchant:",XXXX
1259,"Elan Financial Services has recently taken over servicing my Credit Card from XXXX. In conjunction with the takeover, they have mistakenly blocked valid transactions due to suspected Fraud, they have limited the ability for me to see transaction history on-line, and they have reduced my reward earning.",merchant,Elan Financial Services,"Given the following consumer complaint, extract the merchant/vendor name if mentioned, or ""unknown"" if not specified.

Complaint: ""Elan Financial Services has recently taken over servicing my Credit Card from XXXX. In conjunction with the takeover, they have mistakenly blocked valid transactions due to suspected Fraud, they have limited the ability for me to see transaction history on-line, and they have reduced my reward earning.""

Extract the merchant:",Elan Financial Services
4959,"Account is reported as late, payment is up to date. Address was never changed for statement. Did not receive bill.",transaction_type,payment,"Given the following consumer complaint, extract the type of financial transaction (debit, credit, transfer, purchase, cash_withdrawal, deposit, fee, interest, refund, chargeback, payment, other, unknown).

Complaint: ""Account is reported as late, payment is up to date. Address was never changed for statement. Did not receive bill.""

Extract the transaction_type:",payment
668,"I am filling a complaint on Cash App ( Block, Inc ) due to inadequate customer service and unfair practices. Which violate the consumer financial act",merchant,Cash App,"Given the following consumer complaint, extract the merchant/vendor name if mentioned, or ""unknown"" if not specified.

Complaint: ""I am filling a complaint on Cash App ( Block, Inc ) due to inadequate customer service and unfair practices. Which violate the consumer financial act""

Extract the merchant:",Cash App
1740,I HAVE SEEN INACCURATE INFORMATION ON MY CREDIT REPORT IN REGARDS NATIONAL CREDIT SERVICES IN THE AMOUNT OF XXXX THAT IS GOING AGAINST MY CREDIT WORTHINESS.,channel,unknown,"Given the following consumer complaint, extract the payment/transaction channel used (ACH, wire, Zelle, Venmo, CashApp, card_present, card_not_present, ATM, mobile_check, branch, online, other, unknown).

Complaint: ""I HAVE SEEN INACCURATE INFORMATION ON MY CREDIT REPORT IN REGARDS NATIONAL CREDIT SERVICES IN THE AMOUNT OF XXXX THAT IS GOING AGAINST MY CREDIT WORTHINESS.""

Extract the channel:",unknown
3961,Bank of America closed my account and reversed all my fraudulent claims. Did that and didnt tell me why or give me a chance to remove my funds. I have over {$500.00} that is owed to me and I need to contact XXXX to help assist with these claims.,merchant,Bank of America,"Given the following consumer complaint, extract the merchant/vendor name if mentioned, or ""unknown"" if not specified.

Complaint: ""Bank of America closed my account and reversed all my fraudulent claims. Did that and didnt tell me why or give me a chance to remove my funds. I have over {$500.00} that is owed to me and I need to contact XXXX to help assist with these claims.""

Extract the merchant:",Bank of America
3239,XXXX XXXX Charges from XXXX  Over XXXX dollars was taken out of my account for some phone game! They will not take action and get the money back,account_type_target,unknown,"Given the following consumer complaint, extract the target account type where money/transaction goes to (checking, savings, credit_card, brokerage, loan, cash, other, unknown, none).

Complaint: ""XXXX XXXX Charges from XXXX  Over XXXX dollars was taken out of my account for some phone game! They will not take action and get the money back""

Extract the account_type_target:",unknown
