Product,Consumer complaint narrative
Credit card,The bank did not validate this debt based on the FCRA. I do not owe the alleged debt.
Credit card,"I affirm that the inclusion of incorrectly reported late payment remarks on my accounts is a breach of the 15 USC 1666. Every payment linked to these accounts has been promptly made, and any departure from this precise reporting is unjust and unlawful."
"Money transfer, virtual currency, or money service","I initiated a transfer from my bank to Venmo, Venmo has it stated my funds would be available on XXXX and its now XXXX and my funds are not available and they will not release them for me."
"Money transfer, virtual currency, or money service","My venmo account was locked over a month ago, they refused to respond or do anything to help me withdrawal my funds. I have reached out multiple times. There is XXXX $ in there that I need access to."
Mortgage,"Mortgage company won't release my unpaid funds This loan was paid off XX/XX/XXXX, and I still haven't received my escrow balance, as of XX/XX/XXXX. Amerihome Mortgage keeps saying the check is in the mail, and to just wait longer. No solutions, just wait longer."
"Money transfer, virtual currency, or money service",XXXX paid to through Paypal. Both vendors are in XXXX and advertised to be in the United States when products were being purchased. I did not receive what I purchased. Paypal has allowed this behavior. I am out of my money and the product.
"Credit reporting, credit repair services, or other personal consumer reports",I am interested in processing disputes on my credit report to delete an remove all inaccurate information with trasnunion. checking my file ive noticed alot of errors. this is hindering my credit report. review an remove the inaccurate information an delete all errors asap.
Checking or savings account,"Was advised that on the tenth business day provisional credit would be issued in my checking account in reference to a claim, fraudulent and unauthorized activity with my lost and or stolen debit card on XXXX/XXXX/2017. Credit has still not been issued. Claim ID XXXX"
Credit card,on XX/XX/2023 i received a phone call from target wanting a conformation that I tried to open a credit card account which I did not. So they were going to cancel the application.
Checking or savings account,I have an available balance of well over {$250.00} in my account and my car payment still was returned for a slightly lesser amount of {$200.00}. They need to undo this return payment and repay it because it was their error.
"Credit reporting, credit repair services, or other personal consumer reports",SAM ; S ACCT HAS BEEN PAID DOWN TO {$200.00} BALANCE > STILL SHOWS {$910.00} THAT I OWE > PAID OVER MONTH AGO. ACCT XXXX XXXX
Credit card,"The balance of the credit card was paid off by the wire transfer deposit but the credit company did n't honor the deposit and continued harassing, charging and reporting to the credit bureau as delinquent."
Credit card or prepaid card,Receiving multiple preapproved credit card applications for a person who doesn't live here
Checking or savings account,"I called credit karma months ago to dispute a fraud case. Someone took my card and made transactions that was not me. They closed my case without any detail and when I reopened they stop contacting me. 

XXXX XXXX XXXX XXXX XXXX"
Credit card or prepaid card,"Yesterday, Wednesday XX/XX/2020, I received a debit prepaid card from BRINKS MONEY that I did not apply for and had my name on it, after trying to call the company I got no answer and Im worried about scams or stolen identity"
"Money transfer, virtual currency, or money service","XXXX payments didnt arrive immediately delayed, charged fees, failed to protect my funds."
Credit card,"SYNCB/TJMAXX, has charged off this account and I have not received a 1099 c."
Checking or savings account,I got a statement about XXXX savings accounts from Capital One that I did not request. This statement is XXXX pages long. I did not request these accounts to be opened. The period covers XX/XX/XXXX - XX/XX/2022. Me cell phone is XXXX XXXX XXXX
Checking or savings account,I miss sent money to wrong person and when I tried get back they told me that it was out they control
Checking or savings account,Had a fraudulent situation and they closed my account still after finding out I dont have anything to do with the situation and kept my remaining funds.
Credit reporting or other personal consumer reports,"Collection account from XXXX XXXX XXXX with account # XXXX and a balance of {$1000.00}. 

Collection account from XXXX XXXX XXXX with account # XXXX and a balance of {$840.00}. 

Collection account from XXXX with account # XXXX and a balance of {$110.00}."
Credit card,"Maintaining timely payments has been a consistent practice on this account, and I have never fallen behind. I'm uncertain about the reasons for the presence of late payment remarks on my accounts."
"Money transfer, virtual currency, or money service",Cash app closes account with no warming won't let me send or receive
Credit card,I called Citi visa costco card to remove me as an authorized signer.I was told they needed to speak to the primary on the account.
Credit card or prepaid card,I was informed that the rewards certificate i used to purchase an item could only be used once. although the rewards used to purchase that item was returned without a problem.
"Credit reporting, credit repair services, or other personal consumer reports","There is a FRAUDULENT ACCOUNT reporting on my credit report with a {$250.00} balance. THIS IS NOT MINE!!!! I have NEVER had a XXXX credit card with Synchrony Bank. I DEMAND this account be closed, reported as fraud, and removed from ALL XXXX credit bureaus."
Checking or savings account,A checking account was opened in my name by TD-Bank . Checks and a notice of failure to pay certain funds was received by me a few days ago - the bank was notified on XXXX to discontinue all accounts in my name.
Credit card,This is a card I barely use but when I looked at my billing statements from previous months I've noticed chargers for purchases that I did not make.
"Credit reporting, credit repair services, or other personal consumer reports",checking over my credit report I realized a lot of information is invalid. I am interested in disputing all incorrect information from my credit report with Equifax to clear my file.
"Credit reporting, credit repair services, or other personal consumer reports",Checking my report today I noticed that it was some inaccurate items & accounts on my report I never opened or gave my consent to anyone to do so.
"Credit reporting, credit repair services, or other personal consumer reports",I closed XXXX XXXX in XXXX of XXXX  and today trans union just dropped my credit score and put the balance back on the account I have provided information from trans union report showing it was closed and paid in full
"Money transfer, virtual currency, or money service",Froze account and wont let me withdraw. Lied to consumers saying theyd operate normally. Also didnt disclose their malpractice with using fraud funds from XXXX. No updates in the system and keeping all my money in my crypto wallet.
"Credit reporting, credit repair services, or other personal consumer reports",CREDIT CARD WAS OPEN WITHOUT MY KNOWLEDGE
"Money transfer, virtual currency, or money service","Money was taken out of my account, that I did not authorize"
Checking or savings account,Some one named XXXX XXXX used my email address and social to open a new account with Truist. Probably trying to collect unemployment. This is the fourth different bank this perp has used to try and open with my name.
Debt collection,"As of XX/XX/2023, I have successfully paid off the account balance and received a deletion. At the time of this complaint this account is still showing on my credit report."
Debt collection,"Leased Ended with XXXX XXXX XXXX in XX/XX/2021 with XXXX XXXX XXXX  in XXXX XXXX, LA. I paid all debts and received final invoice showing XXXX balance. I do not owe any further debts."
Credit card or prepaid card,I see multiple 30 days late marks which is a clear violation of my right under the FCRA. The company has never responded to any of my attempts to obtain any proof or documentation that will prove this account is being reported accurately.
Checking or savings account,Someone opened accounts in my name I was unaware of and also tryed to that I was unaware of XXXX in the amount of XXXX Inquiries : XX/XX/19 XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX
Checking or savings account,Multiple times I contacted the ChexSystems about errors showing on my consumer report with the accounts XXXX routing/checking XXXX and XXXX  routing/checking account XXXX. Companies wanted police reports attached to the complaint I have police case number XXXX reply available.
Checking or savings account,XX/XX/year> my account had been closed without my knowledge. my paycheck was coming and supposed to be deposited to that checking account. i was not the one who closed it. huntington told me a secondary user closed it. it was done without me ( primary card holder ) knowing.
Credit card,The date of the first delinquency that you have does not match the date that I have. Under 15 USC 1681e b you must provide maximum possible accuracy. Im requesting full disclosure of the XXXX of my profile
Credit card or prepaid card,The account has a fraudulent charge of {$21000.00} that I have raised to Wells several times now but they refuse to assist me in reversing the charge and closing out the account.
Credit reporting or other personal consumer reports,"Delete closed account from my report XXXX XXXX XXXX XXXX XXXX Balance Updated Last Payment Date Paid Off Monthly Payment Original Balance Terms Responsibility Your Statement : Auto Loan XX/XX/XXXX Closed Paid, Closed. 
XX/XX/XXXX XX/XX/XXXX {$30000.00} XXXX XXXX Individual"
Checking or savings account,I my name name social security number and ate of birth to be removed off of XXXX and early warning
Credit reporting or other personal consumer reports,"My information was used to obtain a credit card that I didnt not file for. 

XXXX XXXX XX/XX/scrub> 2024 {$13000.00}"
Credit card,"I ensure my payments are always made on time. Yet, I'm baffled by the sporadic instances where this company reports late payments, contradicting my meticulous record-keeping. USC 1666b mandates swift correction of billing errors and accurate payment documentation."
"Money transfer, virtual currency, or money service","Was supposed to receive my direct deposit but never received it, with little to no explanation"
Checking or savings account,Im being blocked by site to external apps to application of thing I 'm applying for and I want it fixed
Credit card or prepaid card,i had some lost my wallet with everything in it i had called the bank to report identity theft the bank still want it me to pay for the fraudulent transactions.
"Credit reporting, credit repair services, or other personal consumer reports",My car got totalled. The loan was paid in full except {$1000.00} They closed the account XX/XX/2018. It shows as a chargeoff account however it still shows a balance of {$1200.00} and I am being reported late each month
Checking or savings account,Lost my debit card Also need to make @ least 2 internal transfers and been on the phone over 30 min & no closer to anything being accomplished Pretty sure I even missed a call from the police while they were XXXX around
Credit card or prepaid card,"I never been late with this accounts, and please update it, and I always paid on time that's why this is ridiculous."
Debt collection,I talked to someone in XXXX of 2023 and we talked about the credit card. They told me it would be a one time payment. They sold to a third party company now Im Paying again for debt.
"Money transfer, virtual currency, or money service","on XX/XX/XXXX. 2021 at XXXX i proceeded to transfer my currency ( XXXX  ) XXXX from Binance to Binance.US exchange in the sum of XXXX. 
the token left my wallet but never got transferred to the exchange Binance.US."
Checking or savings account,XXXX XXXX has stolen my XXXX check out of my wells fargo account for 3 months now and due to this I'm now XXXX
Mortgage,Paid all of the property taxes for the 2023. Asked for a refund of the money in the escrow account intended for tax payments. Didn't get a refund or my monthly mortgage payments adjusted.
Credit card,See the attached documents. I want the bureau to start the investigation on these accounts that I am never late for but they're reporting me as late.
Checking or savings account,"Bank of America has taken at least over {$100.00} from my account within the past month. And have been eating my whole paycheck, causing my bank account to be always negative."
Debt collection,a company ENHANCED RECOVERY CO L is reporting a Balance {$1900.00} I have NO CONTRACT with this company and or services
Checking or savings account,"There has been a major delay in direct deposit processing. Capital One emailed at XXXX on XX/XX/XXXX saying the issue would be resolved by the morning on XX/XX/XXXX, however, I woke up to no direct deposit and no update from Capital One. Those is a widespread issue."
Mortgage,"I have 2 HELOC with Wells Fargo and have been paying more than minimum for approx. 15 years, yet my balance remains unchanged"
Credit reporting or other personal consumer reports,"I found out the creditor didn't give the required 21-day notice with a statement. This would've let me pay on time and avoid late fees. This error made it seem like I didn't pay when I should have, which is the creditor 's mistake."
Checking or savings account,They are not allowing access by external applications such as XXXX XXXX so I can get a rebate
Credit card,Received a Wells Fargo credit card I did not apply for.
Credit card,"I need your assistance in reviewing accounts from companies that are incorrectly reporting late payments. After checking my credit report, I found that certain accounts have late payment marks that should not be there. These accounts should not show any late payment remarks."
Credit reporting or other personal consumer reports,"Both two students loans have been paid in full {$14000.00}. On XXXX XXXX XXXX

The creditor ED FINANCIAL HAS RECEIVED PAYMENT. THIS ACCOUNT HAS BEEN PAID IN FULL!!! PLEASE UPDATE MY BALANCE AND DELETE INCORRECT INFORMATION FROM MY CREDIT FILE"
Checking or savings account,As far as I know the issue is happening because I deposited a check that was fake which I didnt know was a fake check as someone was trying to scam me.
"Money transfer, virtual currency, or money service",CFPB-XXXX Just an anonymous text about a money transfer with a link that the text sent as well
Credit reporting or other personal consumer reports,"I've learned that the creditor didn't provide the necessary 21-day notice along with a statement, which would have given me enough time to process payments and avoid late fees on these accounts. This mistake has caused a misrepresentation of the payment status, indicating a billing error by the creditor."
"Money transfer, virtual currency, or money service","I am writing to formally express my concern regarding Zelle handling disputes, particularly in light of recent CFPB lawsuit highlighting significant issues with the platform. Despite using Zelle numerous times and reporting discrepancies, my Zelle failed to investigate and claim adequatetly. They informed me."
Credit card or prepaid card,It's ridiculous because I have always paid this account on time and have never been late. Please update my account accordingly.
Debt collection,On my credit report the bank /XXXX/ send me a Charge off. Midland Funding LLC has the same In collection!!!!! How is possible this???
Credit card or prepaid card,I applied to AMEX on XX/XX/21 and they denied my application within 30 seconds and set me a letter to my email of the denial.
Debt or credit management,Experian have been putting potential negativity on my credit report ... Dispute the information and still no action... Then promoting no impact on credit card that match and if denied no impact on your credit score and that's a lie..
"Money transfer, virtual currency, or money service",I let the companies know that I didnt approve or send any thing out of my account. They sent me a message stating they will get back to me but that was it.
Credit card,A credit card was opened without my knowledge and I never knew until I looked at my credit report.
Checking or savings account,There are over {$5000.00} in fraudulent charges to this account.My brother has been XXXX  since XXXX I have provided proof so there is no way he could have made these charges My original claim # is XXXX I dont feel this case was resolved
"Money transfer, virtual currency, or money service",No agent on stand by lots of trouble with transactions
Debt collection,This company is attempting to collect a debt that has been sold off and XXXX balance.
Credit card or prepaid card,I contacted USAA several times about charges that have dated back to XX/XX/XXXX. They recently mailed new cards to the wrong address and those cards were used.
Debt or credit management,Lexington law said they could get my credit good but didnt but charge me
"Money transfer, virtual currency, or money service",Cash app never has a live agent when money is taken from my account I always have to wait days to hear back from them via email and they never help me
Checking or savings account,"Debit my account later proved the amount was giving to me by the magistrate, bank keep denying of receiving the claim! 
They closed my checking account and saying due to suspicious online activities like hackers!"
Checking or savings account,I was told that I would receive the promotional offer but still waiting
Checking or savings account,Received email w link to fraudulent Chase bank website stating my account was locked and info needed to be verified : https : XXXX? XXXX & XXXX This is not the Chase bank website
Credit card or prepaid card,The current issue is causing me significant distress and is having a negative impact on my sleep. It is challenging for me to accept this situation. I implore you to take immediate action to update my account.
Credit reporting,The account was deleted by Equifax And XXXX because is from 2006 And more the 7 years has passed but the creditor reinstalled them with a different balance. But it is the same account .XXXX XXXX XXXX XXXX XXXX XXXX
"Money transfer, virtual currency, or money service",My pay pal account got hacked and opened up 4 more different credit accounts and my tax refund.
Checking or savings account,"received an email about me opening an account at Truist Bank, I tried calling to report the fraud, I have sent emails and no one has responded. 
Now I got a letter saying I requested overdraft protection. I did not open this account."
"Money transfer, virtual currency, or money service","I sent {$100.00} to XXXX on XX/XX/2021. Because the person could not collect, Western Union told me to cancel the transaction for a refund. I cancelled but never got a refund. 
XXXX XXXX XXXX XXXX."
Checking or savings account,"Wells fargo opened XXXX way to save accounts without my consent or knowledge. 
XXXX"
Credit reporting or other personal consumer reports,"Misleading information with XXXX  XXXX, Experian and XXXX XXXX XXXX  credit balance is incorrect utilization rate s incorrect a 5 year medical bill, late payment correction, XXXX XXXX XXXX XXXX payment is adjusted and current"
Credit card or prepaid card,The following Capital One XXXX Rewards Card ending in : XXXX is a fraudulent account. I never applied for the credit card account. The account is fraudulent and not my account.
Checking or savings account,I'm moving to XXXX for employment and they offer HSA through Optum Bank. Both XXXX and Optum Bank say the other party should be providing me with a full and complete schedule of fees.
Checking or savings account,"Bank refunded one transaction from XXXX

But still get charged monthly for a cancelled account."
"Credit reporting, credit repair services, or other personal consumer reports","Hello, I reviewed A copy of my credit report and it shows a direct violation of the FDCPA if a charge off or collection account is reported with a balance. This account shows a balance of XXXX as of XX/XX/2021 2021"
"Credit reporting, credit repair services, or other personal consumer reports","I am writing to dispute these fraudulent charges on my account. I am a victim of identity theft, and I did not make this charge. I request that you remove the fraudulent charge and any related finance charges from my account."
Credit card or prepaid card,"They refused to process the application but they still ran my credit. I want both inquiries removed asap. 
XXXX XXXX XXXX XX/XX/2022 XXXX XXXX XX/XX/2022 2022"
Credit reporting or other personal consumer reports,XXXX XXXX CREDIT CARD OPENED NOT BY ME ANDE NOW IT IS DELIQUIANT FOR XXXX AND I AM DISPUTING IT WITH XXXX  XXXX AND EQUAFAX CREDIT MONITORING ALONG WITH MANY OTHER SUSPISIOUS ACTICTITY REGARDING MORGAGES WITH MY INFORMATION I NEVER OPENED ALSO NEVER IN MY LIFE HAVE I EITHER.
Debt collection,My balance was paid in full On XX/XX/2021. My confirmation number is XXXX. I paid a total of {$1200.00} which was a 20 % discount for paying in full. I have contacted Medicredit with no help. I have also disputed this with you guys with no help.
Checking or savings account,I was defrauded by a third party for three amounts of {$89.00} and not refunded by this bank after repeated attempts to explain what happened. My treatment at the hands of the bank was appalling.
Credit card or prepaid card,I was denied credit and found USAA Bank Fraudulent account on my credit reports.
Student loan,"It was difficult to make the payments they requested and my credit was affected. They also would not lower my interest rate. Also, I receive state health insurance for my children, a form of XXXX, but they would n't accept it for proof of XXXX."
Credit card,amount {$530.00} opened on XX/XX/year>
"Credit reporting, credit repair services, or other personal consumer reports",I am intrested in disputing all incorrect information on my credit report with Equifax. checking my credit profile ive noticed a lot of invalid data that is hindering my file. please update all information listed.
Credit reporting or other personal consumer reports,I have debts and credit cards and a light bill from XXXX XXXX a credit card from XXXX and a card from XXXX that arent mine on my report XXXX Account number XXXX XXXX XXXXXXXX XXXX  Account XXXX XXXX XXXX Account XXXX XXXX XXXX Account number XXXX
"Money transfer, virtual currency, or money service","At XXXX on XX/XX/2021 Somehow an individual was able to hack into my Cashapp account which was linked to my XXXX banking account and fraudulently transfer {$450.00} to themselves, also diable my phone notification so that I was unaware."
Credit card,It is completely unjustified that I have consistently made timely payments for this account and have never been overdue. I kindly ask that you rectify my account to accurately reflect this.
Credit card or prepaid card,"Credited a disputed unauthorized transaction but did not reverse two late fee 's and interest. 

Also reported this account late to the credit bureaus on my account and my authorized users account."
"Credit reporting, credit repair services, or other personal consumer reports","I got denied a checking account because of my chex systems credit score... etc. 

XXXX XXXX XXXX denied my application for a checking account Because of my chex systems credit score."
Credit card,The account on kikoff was not opened by me my information was compromised
"Money transfer, virtual currency, or money service",I am complaining about Zelle. How before Zelle transfers were done without confirming or giving us disclosures. Letting transfers before being done and no way to get money back.
"Money transfer, virtual currency, or money service",Cant login
"Money transfer, virtual currency, or money service","Company has misled consumer, and billed less than XXXX XXXX violating FCRA from a XXXX purchase on a revolving account"
Checking or savings account,"A representative from Bank of America said that they would accept a check to avoid overdraft fees, but then placed a hold on the funds in order to maximize fees."
Debt collection,"I made all payments charge long ago, yet the company states I owed {$20.00} which in turn became {$340.00}. I was sent no information regarding that I had owed any more than I already paid and was charged fees for a bill that was fabricated by XXXX XXXX XXXX."
Checking or savings account,"my checking account was close by us back in XX/XX/2024, but they didnt mail a check to me for my account balance, I call them 3 month, they reply nothing"
Checking or savings account,Over draft fees. I was advised they could be waived as a courtesy due to employment situation. I have a financial hardship with {$230.00} of fees on a balance if {$320.00}. Im a long time customer with Wells Fargo and they always say theres nothing they could do
Credit card or prepaid card,"what account is this for and why you running my credit. Name of XXXX and the amount and age of debt. 

American Express keeping running my credit."
Credit card,See the attached documents. I want the bureau to start the investigation on these accounts. I am never been late on this account.
Credit card or prepaid card,"It is truly absurd to witness late payments reflected on my account, as I have consistently paid this account on time without any instances of being late. I strongly request that you update my account to accurately reflect my payment history."
Credit card or prepaid card,I have disputed this account and have reached out to the company/creditors MANY times but failed. This account is being reported inaccurately and incorrectly on my credit report.
"Money transfer, virtual currency, or money service",I would like to find a complaint against cash app ( block inc. ) Due to the fact of inadequate customer service. Which to my knowledge is illegal. Therefore they are violating the law of customer financial protection act
Mortgage,Mortgage Loan processor noted as follows by NMLS Number will not credit our payments for payment due XX/XX/2018. They are not providing a monthly statement electronically or by mail as we requested and discussed by phone. XXXX : XXXX
Credit card,See the attached documents. I want the bureau to start the investigation on these accounts that I am never late for but they're reporting me as late.
Checking or savings account,can td explain why i get this document from XXXX about frauding? who is frauding?
Credit reporting or other personal consumer reports,on XX/XX/year> there was a fraudulent credit card taking out using my personal information for the amount of {$1600.00} i have filed and ftc report and have contacted the police
Mortgage,I tried to close my HELOC in XX/XX/XXXX. I have still not received my lien release from Bank of America. They say I owe them {$13.00} fee for lien release. On XX/XX/XXXX they debited my checking acct. with them for {$13.00}. Acct. ending in XXXX.
Credit card or prepaid card,I XXXX XXXX and spouse suppose to got a stimulus check through the card we check the government web and they deposited the Funds on XX/XX/2020 we never received a thing
"Credit reporting, credit repair services, or other personal consumer reports",There is a Bank of America credit card ( closed ) showing up on my credit report which is not my account. This account belongs to someone else and it shows be removed from my credit file.
Debt collection,i sent out a debt validation letter to this company and they sent me a bill statement rather than proper validation of debt. this is not my debt i wish they would remove it from my credit report.
Credit card,See the attached documents. I want the bureau to start the investigation on these accounts that I am never late for but they're reporting me as late.
Prepaid card,Unable to obtain balance or transaction information.
Credit reporting or other personal consumer reports,"I've learned that the creditor didn't provide the necessary 21-day notice along with a statement, which would have given me enough time to process payments and avoid late fees on these accounts. This mistake has caused a misrepresentation of the payment status, indicating a billing error by the creditor."
